group_level,model,condition,contextual_contributor,averaged_count,rate_all_items,paired_item_count
overall,ALL,ALL,resource_disadvantaged_role,589.5,0.408241,1444
overall,ALL,ALL,unaffordable_competitive_pressure,619.5,0.429017,1444
overall,ALL,ALL,severe_supply_scarcity,6.0,0.004155,1444
overall,ALL,ALL,opponent_bid_outlier,179.0,0.123961,1444
model,claude-sonnet-5,ALL,resource_disadvantaged_role,114.5,0.515766,222
model,claude-sonnet-5,ALL,unaffordable_competitive_pressure,124.5,0.560811,222
model,claude-sonnet-5,ALL,severe_supply_scarcity,0.0,0.0,222
model,claude-sonnet-5,ALL,opponent_bid_outlier,23.5,0.105856,222
model,deepseek-v4-flash,ALL,resource_disadvantaged_role,122.0,0.345609,353
model,deepseek-v4-flash,ALL,unaffordable_competitive_pressure,100.5,0.284703,353
model,deepseek-v4-flash,ALL,severe_supply_scarcity,1.5,0.004249,353
model,deepseek-v4-flash,ALL,opponent_bid_outlier,37.0,0.104816,353
model,gemini-3.5-flash,ALL,resource_disadvantaged_role,117.0,0.629032,186
model,gemini-3.5-flash,ALL,unaffordable_competitive_pressure,139.0,0.747312,186
model,gemini-3.5-flash,ALL,severe_supply_scarcity,0.0,0.0,186
model,gemini-3.5-flash,ALL,opponent_bid_outlier,18.5,0.099462,186
model,gpt-5.4,ALL,resource_disadvantaged_role,120.0,0.528634,227
model,gpt-5.4,ALL,unaffordable_competitive_pressure,140.0,0.61674,227
model,gpt-5.4,ALL,severe_supply_scarcity,1.0,0.004405,227
model,gpt-5.4,ALL,opponent_bid_outlier,29.0,0.127753,227
model,gpt-5.4-nano,ALL,resource_disadvantaged_role,116.0,0.254386,456
model,gpt-5.4-nano,ALL,unaffordable_competitive_pressure,115.5,0.253289,456
model,gpt-5.4-nano,ALL,severe_supply_scarcity,3.5,0.007675,456
model,gpt-5.4-nano,ALL,opponent_bid_outlier,71.0,0.155702,456
condition,ALL,OF,resource_disadvantaged_role,299.5,0.400937,747
condition,ALL,OF,unaffordable_competitive_pressure,328.5,0.439759,747
condition,ALL,OF,severe_supply_scarcity,2.5,0.003347,747
condition,ALL,OF,opponent_bid_outlier,85.5,0.114458,747
condition,ALL,OPF,resource_disadvantaged_role,290.0,0.416069,697
condition,ALL,OPF,unaffordable_competitive_pressure,291.0,0.417504,697
condition,ALL,OPF,severe_supply_scarcity,3.5,0.005022,697
condition,ALL,OPF,opponent_bid_outlier,93.5,0.134146,697
model_condition,claude-sonnet-5,OF,resource_disadvantaged_role,61.0,0.575472,106
model_condition,claude-sonnet-5,OF,unaffordable_competitive_pressure,63.0,0.59434,106
model_condition,claude-sonnet-5,OF,severe_supply_scarcity,0.0,0.0,106
model_condition,claude-sonnet-5,OF,opponent_bid_outlier,11.5,0.108491,106
model_condition,claude-sonnet-5,OPF,resource_disadvantaged_role,53.5,0.461207,116
model_condition,claude-sonnet-5,OPF,unaffordable_competitive_pressure,61.5,0.530172,116
model_condition,claude-sonnet-5,OPF,severe_supply_scarcity,0.0,0.0,116
model_condition,claude-sonnet-5,OPF,opponent_bid_outlier,12.0,0.103448,116
model_condition,deepseek-v4-flash,OF,resource_disadvantaged_role,59.0,0.325967,181
model_condition,deepseek-v4-flash,OF,unaffordable_competitive_pressure,49.0,0.270718,181
model_condition,deepseek-v4-flash,OF,severe_supply_scarcity,0.5,0.002762,181
model_condition,deepseek-v4-flash,OF,opponent_bid_outlier,18.0,0.099448,181
model_condition,deepseek-v4-flash,OPF,resource_disadvantaged_role,63.0,0.366279,172
model_condition,deepseek-v4-flash,OPF,unaffordable_competitive_pressure,51.5,0.299419,172
model_condition,deepseek-v4-flash,OPF,severe_supply_scarcity,1.0,0.005814,172
model_condition,deepseek-v4-flash,OPF,opponent_bid_outlier,19.0,0.110465,172
model_condition,gemini-3.5-flash,OF,resource_disadvantaged_role,64.5,0.701087,92
model_condition,gemini-3.5-flash,OF,unaffordable_competitive_pressure,73.0,0.793478,92
model_condition,gemini-3.5-flash,OF,severe_supply_scarcity,0.0,0.0,92
model_condition,gemini-3.5-flash,OF,opponent_bid_outlier,7.5,0.081522,92
model_condition,gemini-3.5-flash,OPF,resource_disadvantaged_role,52.5,0.558511,94
model_condition,gemini-3.5-flash,OPF,unaffordable_competitive_pressure,66.0,0.702128,94
model_condition,gemini-3.5-flash,OPF,severe_supply_scarcity,0.0,0.0,94
model_condition,gemini-3.5-flash,OPF,opponent_bid_outlier,11.0,0.117021,94
model_condition,gpt-5.4,OF,resource_disadvantaged_role,57.5,0.518018,111
model_condition,gpt-5.4,OF,unaffordable_competitive_pressure,75.0,0.675676,111
model_condition,gpt-5.4,OF,severe_supply_scarcity,0.5,0.004505,111
model_condition,gpt-5.4,OF,opponent_bid_outlier,11.0,0.099099,111
model_condition,gpt-5.4,OPF,resource_disadvantaged_role,62.5,0.538793,116
model_condition,gpt-5.4,OPF,unaffordable_competitive_pressure,65.0,0.560345,116
model_condition,gpt-5.4,OPF,severe_supply_scarcity,0.5,0.00431,116
model_condition,gpt-5.4,OPF,opponent_bid_outlier,18.0,0.155172,116
model_condition,gpt-5.4-nano,OF,resource_disadvantaged_role,57.5,0.223735,257
model_condition,gpt-5.4-nano,OF,unaffordable_competitive_pressure,68.5,0.266537,257
model_condition,gpt-5.4-nano,OF,severe_supply_scarcity,1.5,0.005837,257
model_condition,gpt-5.4-nano,OF,opponent_bid_outlier,37.5,0.145914,257
model_condition,gpt-5.4-nano,OPF,resource_disadvantaged_role,58.5,0.29397,199
model_condition,gpt-5.4-nano,OPF,unaffordable_competitive_pressure,47.0,0.236181,199
model_condition,gpt-5.4-nano,OPF,severe_supply_scarcity,2.0,0.01005,199
model_condition,gpt-5.4-nano,OPF,opponent_bid_outlier,33.5,0.168342,199
