panel,model,metric,numerator,denominator,estimate_percent,ci95_low,ci95_high,bootstrap_samples
A,gemini-3.5-flash,mortality,186,720,25.833333,19.861111,32.361111,5000
B,gemini-3.5-flash,resource_disadvantaged_role_exposure,124.0,186.0,66.666667,52.679722,77.491839,5000
B,gemini-3.5-flash,fatal_undercommitment,49.5,186.0,26.612903,21.069103,31.935526,5000
B,gemini-3.5-flash,winners_curse_overpayment,75.0,186.0,40.322581,33.70771,47.340777,5000
B,gemini-3.5-flash,emergency_response_failure,5.0,186.0,2.688172,1.155969,4.698184,5000
B,gemini-3.5-flash,competitive_threshold_miscalibration,29.0,186.0,15.591398,11.999401,19.623862,5000
C,gemini-3.5-flash,reasoning_policy_mismatch,17.5,186.0,9.408602,6.341059,12.903226,5000
C,gemini-3.5-flash,policy_trajectory_mismatch,17.5,186.0,9.408602,6.725028,12.356322,5000
A,claude-sonnet-5,mortality,222,720,30.833333,24.861111,36.944444,5000
B,claude-sonnet-5,resource_disadvantaged_role_exposure,123.0,222.0,55.405405,41.489362,67.60145,5000
B,claude-sonnet-5,fatal_undercommitment,115.5,222.0,52.027027,46.046391,58.377669,5000
B,claude-sonnet-5,winners_curse_overpayment,38.0,222.0,17.117117,12.264151,22.01936,5000
B,claude-sonnet-5,emergency_response_failure,5.0,222.0,2.252252,0.934579,3.72093,5000
B,claude-sonnet-5,competitive_threshold_miscalibration,26.5,222.0,11.936937,8.653846,15.776749,5000
C,claude-sonnet-5,reasoning_policy_mismatch,23.0,222.0,10.36036,7.631579,13.194533,5000
C,claude-sonnet-5,policy_trajectory_mismatch,8.5,222.0,3.828829,2.102804,5.825352,5000
A,gpt-5.4,mortality,227,720,31.527778,25.416667,38.055556,5000
B,gpt-5.4,resource_disadvantaged_role_exposure,129.0,227.0,56.828194,43.010363,68.265868,5000
B,gpt-5.4,fatal_undercommitment,75.5,227.0,33.259912,26.892388,40.043421,5000
B,gpt-5.4,winners_curse_overpayment,70.0,227.0,30.837004,24.137553,37.76824,5000
B,gpt-5.4,emergency_response_failure,6.5,227.0,2.863436,1.333333,4.63422,5000
B,gpt-5.4,competitive_threshold_miscalibration,39.0,227.0,17.180617,13.28125,21.674212,5000
C,gpt-5.4,reasoning_policy_mismatch,12.0,227.0,5.286344,3.448276,7.211598,5000
C,gpt-5.4,policy_trajectory_mismatch,12.0,227.0,5.286344,3.424511,7.240171,5000
A,deepseek-v4-flash,mortality,353,720,49.027778,42.5,55.277778,5000
B,deepseek-v4-flash,resource_disadvantaged_role_exposure,141.0,353.0,39.943343,28.571429,50.933333,5000
B,deepseek-v4-flash,fatal_undercommitment,249.5,353.0,70.679887,65.875012,75.710329,5000
B,deepseek-v4-flash,winners_curse_overpayment,20.0,353.0,5.665722,3.395062,8.130232,5000
B,deepseek-v4-flash,emergency_response_failure,14.5,353.0,4.107649,2.762431,5.555556,5000
B,deepseek-v4-flash,competitive_threshold_miscalibration,43.5,353.0,12.322946,9.156926,15.71864,5000
C,deepseek-v4-flash,reasoning_policy_mismatch,40.0,353.0,11.331445,8.787879,14.048338,5000
C,deepseek-v4-flash,policy_trajectory_mismatch,11.0,353.0,3.116147,1.862464,4.516154,5000
A,gpt-5.4-nano,mortality,456,720,63.333333,57.638889,69.03125,5000
B,gpt-5.4-nano,resource_disadvantaged_role_exposure,141.0,456.0,30.921053,20.963408,41.041782,5000
B,gpt-5.4-nano,fatal_undercommitment,287.5,456.0,63.048246,59.335886,66.666667,5000
B,gpt-5.4-nano,winners_curse_overpayment,7.5,456.0,1.644737,0.675676,2.747253,5000
B,gpt-5.4-nano,emergency_response_failure,35.5,456.0,7.785088,5.45652,10.485892,5000
B,gpt-5.4-nano,competitive_threshold_miscalibration,99.0,456.0,21.710526,18.906163,24.55162,5000
C,gpt-5.4-nano,reasoning_policy_mismatch,75.0,456.0,16.447368,14.285714,18.677527,5000
C,gpt-5.4-nano,policy_trajectory_mismatch,13.0,456.0,2.850877,1.901566,3.854638,5000
