group_level,model,condition,failure_mode,averaged_count,rate_all_items,rate_attributable,any_mode_count,any_mode_rate_all_items,paired_item_count
overall,ALL,ALL,fatal_undercommitment,777.5,0.538435,0.5967,889.5,0.615997,1444
overall,ALL,ALL,winners_curse_overpayment,210.5,0.145776,0.16155,291.5,0.20187,1444
overall,ALL,ALL,emergency_response_failure,66.5,0.046053,0.051036,98.5,0.068213,1444
overall,ALL,ALL,competitive_threshold_miscalibration,237.0,0.164127,0.181888,621.0,0.430055,1444
overall,ALL,ALL,allocation_context_misreasoning,11.5,0.007964,0.008826,17.0,0.011773,1444
model,claude-sonnet-5,ALL,fatal_undercommitment,115.5,0.52027,0.617647,126.5,0.56982,222
model,claude-sonnet-5,ALL,winners_curse_overpayment,38.0,0.171171,0.203209,61.0,0.274775,222
model,claude-sonnet-5,ALL,emergency_response_failure,5.0,0.022523,0.026738,7.5,0.033784,222
model,claude-sonnet-5,ALL,competitive_threshold_miscalibration,26.5,0.119369,0.141711,80.5,0.362613,222
model,claude-sonnet-5,ALL,allocation_context_misreasoning,2.0,0.009009,0.010695,2.0,0.009009,222
model,deepseek-v4-flash,ALL,fatal_undercommitment,249.5,0.706799,0.757208,272.0,0.770538,353
model,deepseek-v4-flash,ALL,winners_curse_overpayment,20.0,0.056657,0.060698,31.0,0.087819,353
model,deepseek-v4-flash,ALL,emergency_response_failure,14.5,0.041076,0.044006,25.0,0.070822,353
model,deepseek-v4-flash,ALL,competitive_threshold_miscalibration,43.5,0.123229,0.132018,126.0,0.356941,353
model,deepseek-v4-flash,ALL,allocation_context_misreasoning,2.0,0.005666,0.00607,6.0,0.016997,353
model,gemini-3.5-flash,ALL,fatal_undercommitment,49.5,0.266129,0.312303,65.0,0.349462,186
model,gemini-3.5-flash,ALL,winners_curse_overpayment,75.0,0.403226,0.473186,95.0,0.510753,186
model,gemini-3.5-flash,ALL,emergency_response_failure,5.0,0.026882,0.031546,6.0,0.032258,186
model,gemini-3.5-flash,ALL,competitive_threshold_miscalibration,29.0,0.155914,0.182965,68.5,0.36828,186
model,gemini-3.5-flash,ALL,allocation_context_misreasoning,0.0,0.0,0.0,0.5,0.002688,186
model,gpt-5.4,ALL,fatal_undercommitment,75.5,0.332599,0.392208,93.5,0.411894,227
model,gpt-5.4,ALL,winners_curse_overpayment,70.0,0.30837,0.363636,85.5,0.376652,227
model,gpt-5.4,ALL,emergency_response_failure,6.5,0.028634,0.033766,9.0,0.039648,227
model,gpt-5.4,ALL,competitive_threshold_miscalibration,39.0,0.171806,0.202597,79.0,0.348018,227
model,gpt-5.4,ALL,allocation_context_misreasoning,1.5,0.006608,0.007792,2.0,0.008811,227
model,gpt-5.4-nano,ALL,fatal_undercommitment,287.5,0.630482,0.660161,332.5,0.729167,456
model,gpt-5.4-nano,ALL,winners_curse_overpayment,7.5,0.016447,0.017222,19.0,0.041667,456
model,gpt-5.4-nano,ALL,emergency_response_failure,35.5,0.077851,0.081515,51.0,0.111842,456
model,gpt-5.4-nano,ALL,competitive_threshold_miscalibration,99.0,0.217105,0.227325,267.0,0.585526,456
model,gpt-5.4-nano,ALL,allocation_context_misreasoning,6.0,0.013158,0.013777,6.5,0.014254,456
condition,ALL,OF,fatal_undercommitment,389.0,0.52075,0.577151,455.0,0.609103,747
condition,ALL,OF,winners_curse_overpayment,114.5,0.15328,0.169881,153.0,0.204819,747
condition,ALL,OF,emergency_response_failure,41.5,0.055556,0.061573,60.0,0.080321,747
condition,ALL,OF,competitive_threshold_miscalibration,123.0,0.164659,0.182493,313.0,0.419009,747
condition,ALL,OF,allocation_context_misreasoning,6.0,0.008032,0.008902,10.0,0.013387,747
condition,ALL,OPF,fatal_undercommitment,388.5,0.557389,0.617647,434.5,0.623386,697
condition,ALL,OPF,winners_curse_overpayment,96.0,0.137733,0.152623,138.5,0.198709,697
condition,ALL,OPF,emergency_response_failure,25.0,0.035868,0.039746,38.5,0.055237,697
condition,ALL,OPF,competitive_threshold_miscalibration,114.0,0.163558,0.18124,308.0,0.441894,697
condition,ALL,OPF,allocation_context_misreasoning,5.5,0.007891,0.008744,7.0,0.010043,697
model_condition,claude-sonnet-5,OF,fatal_undercommitment,50.5,0.476415,0.570621,56.0,0.528302,106
model_condition,claude-sonnet-5,OF,winners_curse_overpayment,22.0,0.207547,0.248588,30.5,0.287736,106
model_condition,claude-sonnet-5,OF,emergency_response_failure,2.5,0.023585,0.028249,3.0,0.028302,106
model_condition,claude-sonnet-5,OF,competitive_threshold_miscalibration,13.5,0.127358,0.152542,36.5,0.34434,106
model_condition,claude-sonnet-5,OF,allocation_context_misreasoning,0.0,0.0,0.0,0.0,0.0,106
model_condition,claude-sonnet-5,OPF,fatal_undercommitment,65.0,0.560345,0.659898,70.5,0.607759,116
model_condition,claude-sonnet-5,OPF,winners_curse_overpayment,16.0,0.137931,0.162437,30.5,0.262931,116
model_condition,claude-sonnet-5,OPF,emergency_response_failure,2.5,0.021552,0.025381,4.5,0.038793,116
model_condition,claude-sonnet-5,OPF,competitive_threshold_miscalibration,13.0,0.112069,0.13198,44.0,0.37931,116
model_condition,claude-sonnet-5,OPF,allocation_context_misreasoning,2.0,0.017241,0.020305,2.0,0.017241,116
model_condition,deepseek-v4-flash,OF,fatal_undercommitment,134.0,0.740331,0.79056,145.5,0.803867,181
model_condition,deepseek-v4-flash,OF,winners_curse_overpayment,9.0,0.049724,0.053097,15.5,0.085635,181
model_condition,deepseek-v4-flash,OF,emergency_response_failure,7.0,0.038674,0.041298,14.0,0.077348,181
model_condition,deepseek-v4-flash,OF,competitive_threshold_miscalibration,19.0,0.104972,0.112094,56.0,0.309392,181
model_condition,deepseek-v4-flash,OF,allocation_context_misreasoning,0.5,0.002762,0.00295,4.0,0.022099,181
model_condition,deepseek-v4-flash,OPF,fatal_undercommitment,115.5,0.671512,0.721875,126.5,0.735465,172
model_condition,deepseek-v4-flash,OPF,winners_curse_overpayment,11.0,0.063953,0.06875,15.5,0.090116,172
model_condition,deepseek-v4-flash,OPF,emergency_response_failure,7.5,0.043605,0.046875,11.0,0.063953,172
model_condition,deepseek-v4-flash,OPF,competitive_threshold_miscalibration,24.5,0.142442,0.153125,70.0,0.406977,172
model_condition,deepseek-v4-flash,OPF,allocation_context_misreasoning,1.5,0.008721,0.009375,2.0,0.011628,172
model_condition,gemini-3.5-flash,OF,fatal_undercommitment,23.5,0.255435,0.303226,31.0,0.336957,92
model_condition,gemini-3.5-flash,OF,winners_curse_overpayment,39.0,0.423913,0.503226,45.5,0.494565,92
model_condition,gemini-3.5-flash,OF,emergency_response_failure,2.0,0.021739,0.025806,2.5,0.027174,92
model_condition,gemini-3.5-flash,OF,competitive_threshold_miscalibration,13.0,0.141304,0.167742,32.5,0.353261,92
model_condition,gemini-3.5-flash,OF,allocation_context_misreasoning,0.0,0.0,0.0,0.0,0.0,92
model_condition,gemini-3.5-flash,OPF,fatal_undercommitment,26.0,0.276596,0.320988,34.0,0.361702,94
model_condition,gemini-3.5-flash,OPF,winners_curse_overpayment,36.0,0.382979,0.444444,49.5,0.526596,94
model_condition,gemini-3.5-flash,OPF,emergency_response_failure,3.0,0.031915,0.037037,3.5,0.037234,94
model_condition,gemini-3.5-flash,OPF,competitive_threshold_miscalibration,16.0,0.170213,0.197531,36.0,0.382979,94
model_condition,gemini-3.5-flash,OPF,allocation_context_misreasoning,0.0,0.0,0.0,0.5,0.005319,94
model_condition,gpt-5.4,OF,fatal_undercommitment,32.0,0.288288,0.338624,44.5,0.400901,111
model_condition,gpt-5.4,OF,winners_curse_overpayment,41.5,0.373874,0.439153,50.5,0.454955,111
model_condition,gpt-5.4,OF,emergency_response_failure,3.0,0.027027,0.031746,5.5,0.04955,111
model_condition,gpt-5.4,OF,competitive_threshold_miscalibration,17.5,0.157658,0.185185,36.5,0.328829,111
