feedback,batch,experiment_id,focal_agent,model,seed,episode_days,scenario,baseline_stratum,baseline_policy_hash,adapted_policy_hash,opponent_policy_hashes,baseline_survival_days,adapted_survival_days,survival_gain,baseline_dead,adapted_dead,mortality_change,death_to_survival,survival_to_death,baseline_final_hp,adapted_final_hp,baseline_final_budget,adapted_final_budget,baseline_total_bid,adapted_total_bid,baseline_value,adapted_value,value_gain,improved,tied,degraded
OF,OF,exp_001,Eric,claude-sonnet-5,10,20,medium,completed_20_days,93d56a2fe8a3def7,c3d751fdc275785e,"{""Alex"": ""dff969b457811083"", ""Bob"": ""befece6e2e2a02b0"", ""Cindy"": ""4be93b109dfa25f0"", ""David"": ""83cd3f18a6d4843b""}",20.0,20.0,0.0,0,0,0,0,0,9.0,9.0,857.9764907179436,943.7352736382118,2614.019768639865,2505.9230520834026,20.02872428988706,20.02945353123842,0.0007292413513617646,1,0,0
OF,OF,exp_001,Eric,claude-sonnet-5,42,20,medium,completed_20_days,93d56a2fe8a3def7,c3d751fdc275785e,"{""Alex"": ""dff969b457811083"", ""Bob"": ""befece6e2e2a02b0"", ""Cindy"": ""4be93b109dfa25f0"", ""David"": ""83cd3f18a6d4843b""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,552.1555743885455,923.9096038710916,2955.260814921962,2662.080402010345,20.02850472427201,20.031665897992102,0.0031611737200911705,1,0,0
OF,OF,exp_001,Eric,claude-sonnet-5,98,20,medium,completed_20_days,93d56a2fe8a3def7,c3d751fdc275785e,"{""Alex"": ""dff969b457811083"", ""Bob"": ""befece6e2e2a02b0"", ""Cindy"": ""4be93b109dfa25f0"", ""David"": ""83cd3f18a6d4843b""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,913.2195783740309,1021.0476071129473,2582.0332944671145,2443.578878098208,20.031574996414744,20.03249190142103,0.0009169050062851625,1,0,0
OF,OF,exp_001,Eric,claude-sonnet-5,197,20,medium,completed_20_days,93d56a2fe8a3def7,c3d751fdc275785e,"{""Alex"": ""dff969b457811083"", ""Bob"": ""befece6e2e2a02b0"", ""Cindy"": ""4be93b109dfa25f0"", ""David"": ""83cd3f18a6d4843b""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,799.9456837066393,931.5789106511409,2720.8643545707673,2552.901728318173,20.030611783024717,20.03173111318581,0.0011193301610923356,1,0,0
OF,OF,exp_001,Eric,claude-sonnet-5,666,20,medium,completed_20_days,93d56a2fe8a3def7,c3d751fdc275785e,"{""Alex"": ""dff969b457811083"", ""Bob"": ""befece6e2e2a02b0"", ""Cindy"": ""4be93b109dfa25f0"", ""David"": ""83cd3f18a6d4843b""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,843.9085726963701,959.281388701822,2688.6952359981706,2546.8720347675526,20.030985617114766,20.031966678475357,0.0009810613605907292,1,0,0
OF,OF,exp_002,David,claude-sonnet-5,10,20,medium,completed_20_days,b8eefdf28f092949,139cf1003d099383,"{""Alex"": ""243ff349c35e0573"", ""Bob"": ""2d45f01d41189e43"", ""Cindy"": ""8176358240f7ca18"", ""Eric"": ""acc9deca70cb395b""}",20.0,20.0,0.0,0,0,0,0,0,9.0,10.0,96.00423644678142,15.916929753000787,2354.738071159427,2386.9543345276825,20.022857205899506,20.024046382883228,0.0011891769837220068,1,0,0
OF,OF,exp_002,David,claude-sonnet-5,42,20,medium,survived_days_10_19,b8eefdf28f092949,139cf1003d099383,"{""Alex"": ""243ff349c35e0573"", ""Bob"": ""2d45f01d41189e43"", ""Cindy"": ""8176358240f7ca18"", ""Eric"": ""acc9deca70cb395b""}",15.0,20.0,5.0,1,0,-1,1,0,-3.0,10.0,0.0,28.085176032253884,2360.463253905505,2259.487401134934,15.0,20.02422745797667,5.0242274579766715,1,0,0
OF,OF,exp_002,David,claude-sonnet-5,98,20,medium,completed_20_days,b8eefdf28f092949,139cf1003d099383,"{""Alex"": ""243ff349c35e0573"", ""Bob"": ""2d45f01d41189e43"", ""Cindy"": ""8176358240f7ca18"", ""Eric"": ""acc9deca70cb395b""}",20.0,20.0,0.0,0,0,0,0,0,7.0,10.0,176.16988931794248,26.8653553138939,2716.734365534502,2214.6775226680347,20.019288242400563,20.024209305882646,0.004921063482083099,1,0,0
OF,OF,exp_002,David,claude-sonnet-5,197,20,medium,died_before_day_10,b8eefdf28f092949,139cf1003d099383,"{""Alex"": ""243ff349c35e0573"", ""Bob"": ""2d45f01d41189e43"", ""Cindy"": ""8176358240f7ca18"", ""Eric"": ""acc9deca70cb395b""}",8.0,20.0,12.0,1,0,-1,1,0,0.0,9.0,0.0,133.45082906778129,1086.79188143566,2156.7531593122267,8.0,20.02341444686113,12.023414446861128,1,0,0
OF,OF,exp_002,David,claude-sonnet-5,666,20,medium,completed_20_days,b8eefdf28f092949,139cf1003d099383,"{""Alex"": ""243ff349c35e0573"", ""Bob"": ""2d45f01d41189e43"", ""Cindy"": ""8176358240f7ca18"", ""Eric"": ""acc9deca70cb395b""}",20.0,20.0,0.0,0,0,0,0,0,7.0,4.0,188.27623766520432,172.63398063517187,2383.566316611428,2701.874285285801,20.019468396393826,20.012092767568976,-0.007375628824849656,0,0,1
