condition,transition,metric,estimate,ci95_low,ci95_high,bootstrap_samples
OF,MR2-MR1,WACScore,1.358333,0.353496,2.31151,5000
OF,MR3-MR2,WACScore,-0.271667,-1.205843,0.629316,5000
OF,MR3-MR1,WACScore,1.086667,0.145814,2.001387,5000
OF,MR2-MR1,Mortality,-2.233333,-3.631588,-0.758945,5000
OF,MR3-MR2,Mortality,-0.166667,-1.526178,1.224062,5000
OF,MR3-MR1,Mortality,-2.4,-3.750189,-1.072389,5000
OPF,MR2-MR1,WACScore,1.9,0.578149,3.278583,5000
OPF,MR3-MR2,WACScore,1.263333,0.180923,2.351362,5000
OPF,MR3-MR1,WACScore,3.163333,1.803638,4.498747,5000
OPF,MR2-MR1,Mortality,-2.166667,-4.181904,-0.156659,5000
OPF,MR3-MR2,Mortality,-0.966667,-2.71529,0.735536,5000
OPF,MR3-MR1,Mortality,-3.133333,-5.02736,-1.251582,5000
