condition,meta_round,metric,estimate,ci95_low,ci95_high,bootstrap_samples
OF,1,WACScore,74.16,73.140278,75.180149,5000
OF,2,WACScore,75.518333,74.543537,76.50206,5000
OF,3,WACScore,75.246667,74.285819,76.134838,5000
OF,1,Mortality,40.433333,39.088548,41.819946,5000
OF,2,Mortality,38.2,36.767281,39.600734,5000
OF,3,Mortality,38.033333,36.673018,39.42393,5000
OPF,1,WACScore,74.673333,73.523697,75.785067,5000
OPF,2,WACScore,76.573333,75.459663,77.661996,5000
OPF,3,WACScore,77.836667,76.853227,78.798374,5000
OPF,1,Mortality,38.7,37.155972,40.259442,5000
OPF,2,Mortality,36.533333,34.865634,38.221657,5000
OPF,3,Mortality,35.566667,34.220233,36.940864,5000
