feedback,meta_round,model,experiment_count,role_count,paired_replay_count,original_wac,original_wac_ci_low,original_wac_ci_high,reference_wac,reference_wac_ci_low,reference_wac_ci_high,wac_difference,wac_difference_ci_low,wac_difference_ci_high,original_mortality,original_mortality_ci_low,original_mortality_ci_high,reference_mortality,reference_mortality_ci_low,reference_mortality_ci_high,mortality_difference,mortality_difference_ci_low,mortality_difference_ci_high
OF,1,claude-sonnet-5,120,5,600,81.61666666666667,78.3389324625031,84.74188599558336,77.59166666666667,74.61338059163059,80.65278525641027,4.025,1.2353058895972182,6.718251851851849,30.999999999999993,26.779680023567618,35.357212973656715,32.33333333333333,28.394556704260655,36.242802023578534,-1.3333333333333333,-5.082357895727461,2.3161888549453935
OF,1,deepseek-v4-flash,120,5,600,66.4,61.6959180672269,70.82345020714433,75.15833333333333,72.49549665759012,78.00410066490053,-8.758333333333333,-13.964602345938376,-3.835597332430156,50.50000000000001,44.94766403162056,56.47849843357891,36.5,33.11585967265921,39.99072595281307,14.0,7.740687463163135,20.703489360416352
OF,1,gemini-3.5-flash,120,5,600,86.175,83.4482074721505,88.69803223335805,75.90833333333333,72.75509263854426,79.24370265700483,10.266666666666666,7.279930768345987,13.409105883005882,27.333333333333332,23.96161900360176,31.067714285714285,35.666666666666664,31.139046953046947,40.154674371513075,-8.333333333333334,-12.38705995456449,-4.133009804205462
OF,1,gpt-5.4,120,5,600,82.28333333333333,78.89930670610087,85.5948621350515,76.85833333333333,73.55767280610092,79.93133539055974,5.425000000000001,2.225940373746824,8.741244187225355,31.0,26.413371543489188,35.577556647001174,32.166666666666664,27.846979325145167,36.537316604963664,-1.1666666666666665,-5.352276861987942,3.4336402918210696
OF,1,gpt-5.4-nano,120,5,600,54.325,49.54416414346545,59.02511334420267,69.98333333333332,67.22701891635352,72.72144142180284,-15.658333333333335,-20.660523291087245,-10.73153993092637,62.33333333333333,56.41009222661396,68.22560567138015,41.16666666666667,37.464958592132504,44.81903639203409,21.166666666666668,15.281324110671935,27.104006722288204
OF,2,claude-sonnet-5,120,5,600,86.275,83.85785538720539,88.57170507246377,78.41666666666666,75.92471122371145,80.9520010351967,7.8583333333333325,5.017258319220956,10.692811212262678,24.166666666666668,21.05676046176046,27.387661915262754,31.166666666666664,27.95839356295878,34.365451006255704,-7.0,-10.80243885576009,-2.960997536945813
OF,2,deepseek-v4-flash,120,5,600,67.35833333333333,62.329461437596215,72.2412757152268,73.56666666666668,70.78362827001565,76.40135022637284,-6.208333333333333,-11.543664939262776,-1.518019014323253,48.33333333333333,42.31277746823434,54.759603458774805,39.66666666666667,35.525849539876525,43.38526948747286,8.666666666666666,2.4587049012258575,14.958180445491534
OF,2,gemini-3.5-flash,120,5,600,86.44166666666666,84.48144638006306,88.25526204613445,77.7,75.0786343384803,80.12641957592632,8.741666666666667,6.37776956207333,11.147188388493227,26.0,22.942728110599077,29.220353819171393,33.0,29.717508632671674,36.551583003952565,-7.000000000000002,-10.485726613965744,-3.4765737129492775
OF,2,gpt-5.4,120,5,600,84.73333333333333,81.66596745624857,87.51113890879309,75.39166666666667,72.54442173643312,78.17656839131782,9.341666666666667,6.358711103832815,12.533917756609332,27.499999999999993,23.376168490430107,31.405207966798756,35.33333333333333,31.43934656616908,39.05681622551676,-7.833333333333333,-11.979671325051761,-3.6834102414704493
OF,2,gpt-5.4-nano,120,5,600,52.783333333333324,48.20178290186759,57.29618681568149,70.95000000000002,68.05152153447133,73.98038260803524,-18.166666666666668,-22.71378657219973,-13.530528775146424,65.0,59.185975355054296,70.7629456988267,41.33333333333333,36.92839021379303,45.09016317083168,23.666666666666668,18.042176528592535,30.101512075632563
