model,condition,metric,estimate,ci95_low,ci95_high,meta_rounds,bootstrap_samples
claude-sonnet-5,OF,WACScore,86.175,84.252269,88.137147,2+3,5000
claude-sonnet-5,OF,Mortality,25.0,22.477104,27.60971,2+3,5000
claude-sonnet-5,OPF,WACScore,84.054167,81.644646,86.446721,2+3,5000
claude-sonnet-5,OPF,Mortality,28.666667,25.061853,32.319455,2+3,5000
claude-sonnet-5,Avg,WACScore,85.114583,83.636577,86.5689,2+3,5000
claude-sonnet-5,Avg,Mortality,26.833333,24.65855,29.015855,2+3,5000
deepseek-v4-flash,OF,WACScore,69.041667,64.659657,73.30301,2+3,5000
deepseek-v4-flash,OF,Mortality,45.833333,40.475755,51.353201,2+3,5000
deepseek-v4-flash,OPF,WACScore,67.841667,64.463869,71.167724,2+3,5000
deepseek-v4-flash,OPF,Mortality,46.583333,42.529363,50.736951,2+3,5000
deepseek-v4-flash,Avg,WACScore,68.441667,65.513975,71.35136,2+3,5000
deepseek-v4-flash,Avg,Mortality,46.208333,42.6546,49.769717,2+3,5000
gemini-3.5-flash,OF,WACScore,86.475,84.814304,88.070364,2+3,5000
gemini-3.5-flash,OF,Mortality,25.75,23.261767,28.485438,2+3,5000
gemini-3.5-flash,OPF,WACScore,87.054167,85.003357,89.117763,2+3,5000
gemini-3.5-flash,OPF,Mortality,25.083333,21.69533,28.313643,2+3,5000
gemini-3.5-flash,Avg,WACScore,86.764583,85.403453,88.203581,2+3,5000
gemini-3.5-flash,Avg,Mortality,25.416667,22.982987,27.703068,2+3,5000
gpt-5.4,OF,WACScore,84.266667,81.591109,86.818779,2+3,5000
gpt-5.4,OF,Mortality,27.583333,23.950004,31.227465,2+3,5000
gpt-5.4,OPF,WACScore,81.725,78.985397,84.222398,2+3,5000
gpt-5.4,OPF,Mortality,31.083333,27.74518,34.649851,2+3,5000
gpt-5.4,Avg,WACScore,82.995833,80.925853,84.995913,2+3,5000
gpt-5.4,Avg,Mortality,29.333333,26.626985,32.033839,2+3,5000
gpt-5.4-nano,OF,WACScore,50.954167,46.401399,55.447572,2+3,5000
gpt-5.4-nano,OF,Mortality,66.416667,60.985455,72.058864,2+3,5000
gpt-5.4-nano,OPF,WACScore,65.35,62.156209,68.386867,2+3,5000
gpt-5.4-nano,OPF,Mortality,48.833333,44.918209,52.821164,2+3,5000
gpt-5.4-nano,Avg,WACScore,58.152083,55.362614,60.873657,2+3,5000
gpt-5.4-nano,Avg,Mortality,57.625,54.278544,61.085605,2+3,5000
