condition,experiment_id,meta_round,behavioral_distance,structural_similarity,valid_behavior_pairs,valid_structure_pairs,total_pairs
OF,exp_001,1,0.325292,0.308915,10,10,10
OF,exp_001,2,0.306393,0.32665,10,10,10
OF,exp_001,3,0.34592,0.320047,10,10,10
OF,exp_002,1,0.310658,0.334856,10,10,10
OF,exp_002,2,0.317984,0.362019,10,10,10
OF,exp_002,3,0.305742,0.362584,10,10,10
OF,exp_003,1,0.408579,0.259921,10,10,10
OF,exp_003,2,0.23994,0.321514,10,10,10
OF,exp_003,3,0.313179,0.315698,10,10,10
OF,exp_004,1,0.284989,0.333838,10,10,10
OF,exp_004,2,0.360281,0.34196,10,10,10
OF,exp_004,3,0.343582,0.331674,10,10,10
OF,exp_005,1,0.265503,0.278078,10,10,10
OF,exp_005,2,0.233602,0.280802,10,10,10
OF,exp_005,3,0.302487,0.309794,10,10,10
OF,exp_006,1,0.246206,0.321252,10,10,10
OF,exp_006,2,0.282276,0.293165,10,10,10
OF,exp_006,3,0.372821,0.280188,10,10,10
OF,exp_007,1,0.317326,0.334368,10,10,10
OF,exp_007,2,0.305852,0.308259,10,10,10
OF,exp_007,3,0.367607,0.309096,10,10,10
OF,exp_008,1,0.247955,0.319707,10,10,10
OF,exp_008,2,0.249928,0.331779,10,10,10
OF,exp_008,3,0.249905,0.328171,10,10,10
OF,exp_009,1,0.296367,0.318489,10,10,10
OF,exp_009,2,0.326108,0.341766,10,10,10
OF,exp_009,3,0.33884,0.338862,10,10,10
OF,exp_010,1,0.221942,0.249192,10,10,10
OF,exp_010,2,0.281158,0.28188,10,10,10
OF,exp_010,3,0.337351,0.309578,10,10,10
OF,exp_011,1,0.42525,0.260395,10,10,10
OF,exp_011,2,0.351255,0.350903,10,10,10
OF,exp_011,3,0.342878,0.369229,10,10,10
OF,exp_012,1,0.328692,0.296474,10,10,10
OF,exp_012,2,0.37105,0.216678,10,10,10
OF,exp_012,3,0.369981,0.273596,10,10,10
OF,exp_013,1,0.251817,0.285753,10,10,10
OF,exp_013,2,0.314684,0.286247,10,10,10
OF,exp_013,3,0.342879,0.349592,10,10,10
OF,exp_014,1,0.310032,0.286367,10,10,10
OF,exp_014,2,0.362671,0.345715,10,10,10
OF,exp_014,3,0.323281,0.30965,10,10,10
OF,exp_015,1,0.288246,0.284553,10,10,10
OF,exp_015,2,0.326931,0.287742,10,10,10
OF,exp_015,3,0.363665,0.298896,10,10,10
OF,exp_016,1,0.379906,0.282458,10,10,10
OF,exp_016,2,0.39048,0.290993,10,10,10
OF,exp_016,3,0.388498,0.294225,10,10,10
OF,exp_017,1,0.314507,0.367188,10,10,10
