summary_level,condition,model,agent_id,strategy_instance_id,joint_risk_monotonicity,health_sensitivity,drought_sensitivity,risk_sensitivity,joint_strict_sensitivity,health_strict_sensitivity,drought_strict_sensitivity,strict_risk_sensitivity,tie_rate,negative_rate,mean_bid_delta,median_bid_delta,normalized_bid_adjustment,joint_normalized_bid_adjustment,health_normalized_bid_adjustment,drought_normalized_bid_adjustment,valid_pair_count,total_pair_count,error_pair_count,error_rate
model,OF,claude-sonnet-5,ALL,ALL,1.0,1.0,1.0,1.0,0.830247,0.707099,0.697222,0.744856,0.24919,0.0,59.127426,37.5,0.162903,0.21169,0.188125,0.088895,8640,8640,0,0.0
model,OF,deepseek-v4-flash,ALL,ALL,0.992901,0.994136,0.993519,0.993519,0.804012,0.715741,0.653241,0.724331,0.260301,0.006481,44.223268,22.41,0.136617,0.176442,0.139101,0.094309,8640,8640,0,0.0
model,OF,gemini-3.5-flash,ALL,ALL,0.994444,0.995988,0.998611,0.996348,0.877778,0.710802,0.60463,0.73107,0.24919,0.003935,100.176932,63.525,0.289734,0.376187,0.285493,0.207521,8640,8640,0,0.0
model,OF,gpt-5.4,ALL,ALL,0.992593,0.987346,0.989352,0.989763,0.887654,0.816049,0.744444,0.816049,0.164815,0.010185,76.1331,42.5,0.223684,0.289033,0.211626,0.170392,8640,8640,0,0.0
model,OF,gpt-5.4-nano,ALL,ALL,0.922222,0.920062,0.965278,0.935854,0.794444,0.63858,0.755093,0.729372,0.206019,0.067824,23.801326,13.2,0.077238,0.098069,0.072834,0.060811,8640,8640,0,0.0
model,OPF,claude-sonnet-5,ALL,ALL,0.998148,0.997222,0.996296,0.997222,0.856481,0.769753,0.720833,0.782356,0.207292,0.002662,64.18711,42.0,0.185049,0.236953,0.207407,0.110787,8640,8640,0,0.0
model,OPF,deepseek-v4-flash,ALL,ALL,0.995679,0.996605,0.998148,0.996811,0.844753,0.750926,0.747222,0.780967,0.211458,0.003356,49.138018,27.0,0.151452,0.185618,0.154158,0.114581,8640,8640,0,0.0
model,OPF,gemini-3.5-flash,ALL,ALL,0.998765,0.999383,0.998148,0.998765,0.907716,0.750926,0.71713,0.791924,0.197569,0.001157,92.100316,60.0,0.281343,0.352745,0.275816,0.215468,8640,8640,0,0.0
model,OPF,gpt-5.4,ALL,ALL,0.98858,0.991049,0.989352,0.98966,0.933951,0.872531,0.854167,0.886883,0.098727,0.010301,76.634752,48.0,0.230697,0.291051,0.22422,0.17682,8640,8640,0,0.0
model,OPF,gpt-5.4-nano,ALL,ALL,0.981173,0.984568,0.984722,0.983488,0.855247,0.740123,0.782407,0.792593,0.189468,0.016667,35.141671,18.75,0.111094,0.140781,0.110201,0.0823,8640,8640,0,0.0
