exp,meta_round_id,agent_id,backend,model,temperature,survival_days,death_day,death_count,mortality_rate,final_status,status_alive,final_hp,final_budget,total_bid,avg_bid,bid_variance,max_bid,min_bid,error_count,compile_success,runtime_success,strategy_complexity
exp_109,1,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,10.0,68.43,983.285,98.32849999999999,1230.96845525,133.285,17.5,0,1.0,1.0,622.0
exp_109,1,Bob,openai,gpt-5.4-nano,0.6,10,,0.0,0.0,alive,1.0,3.0,519.1650000000001,895.0274999999999,89.50274999999999,872.5477393125,129.285,34.335,0,1.0,1.0,478.0
exp_109,1,Cindy,gemini,gemini-2.5-flash,0.6,4,5,1.0,100.0,dead,0.0,0.0,0.0,647.5,64.75,4194.2125,132.0,0.0,0,1.0,1.0,495.0
exp_109,1,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_109,1,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,381.94000000000005,1204.345,120.4345,517.24301725,133.5,56.0,0,1.0,1.0,205.0
exp_109,2,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,344.0,34.4,2236.64,110.0,0.0,0,1.0,1.0,614.0
exp_109,2,Bob,openai,gpt-5.4-nano,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,231.79500000000002,23.1795,1257.88846725,81.855,0.0,1,1.0,0.0,479.0
exp_109,2,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,461.06156874999994,1038.9384312500001,103.89384312500002,93.35406445164419,116.55000000000001,90.0,0,1.0,1.0,337.0
exp_109,2,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,10.0,90.63925625000002,821.57630625,82.157630625,422.49123473778485,110.72250000000001,40.228125,0,1.0,1.0,167.0
exp_109,2,Eric,deepseek,deepseek-v4-flash,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,60.0,6.0,54.0,15.0,0.0,0,1.0,1.0,8.0
exp_109,3,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,348.0,34.8,1913.76,96.0,0.0,0,1.0,1.0,665.0
